path,kind,before_tendency,after_tendency,tendency_change,before_stability,after_stability,plastic_trace,weakening_trace,emotion_exposure,waking_participation,sleep_participation,formed
fixed:visual>association:0013,fixed,0.33800754495418345,0.33800754495418345,0.0,0.86,0.86,0.0,0.0,0.0,0.0,0.0,True
fixed:visual>association:0014,fixed,0.3469619616917819,0.3469619616917819,0.0,0.86,0.86,0.0,0.0,0.0,0.7761830048336149,0.0,True
fixed:visual>association:0015,fixed,0.35331308331588906,0.35331308331588906,0.0,0.86,0.86,0.0,0.0,0.0,0.0,0.0,True
fixed:visual>association:0016,fixed,0.34674773538306974,0.34674773538306974,0.0,0.86,0.86,0.0,0.0,0.0,0.0,0.0,True
fixed:visual>association:0017,fixed,0.3665456718914242,0.3665456718914242,0.0,0.86,0.86,0.0,0.0,0.0,0.0,0.0,True
fixed:visual>association:0018,fixed,0.338046680033093,0.338046680033093,0.0,0.86,0.86,0.0,0.0,0.0,0.0,0.0,True
fixed:visual>association:0019,fixed,0.3521220828869606,0.3521220828869606,0.0,0.86,0.86,0.0,0.0,0.0,0.0,0.0,True
fixed:visual>association:0020,fixed,0.316813776178688,0.316813776178688,0.0,0.86,0.86,0.0,0.0,0.0,0.0,0.0,True
fixed:visual>association:0021,fixed,0.31565389622957024,0.31565389622957024,0.0,0.86,0.86,0.0,0.0,0.0,0.0,0.0,True
fixed:visual>association:0022,fixed,0.3669838901480032,0.3669838901480032,0.0,0.86,0.86,0.0,0.0,0.0,0.0,0.0,True
fixed:visual>association:0023,fixed,0.3319437175489604,0.3319437175489604,0.0,0.86,0.86,0.0,0.0,0.0,2.070939951061768,0.0,True
fixed:visual>association:0024,fixed,0.3438263223410953,0.3438263223410953,0.0,0.86,0.86,0.0,0.0,0.0,0.0,0.0,True
fixed:visual>association:0025,fixed,0.3510415040564101,0.3510415040564101,0.0,0.86,0.86,0.0,0.0,0.0,0.0,0.0,True
fixed:visual>association:0026,fixed,0.32868221741611725,0.32868221741611725,0.0,0.86,0.86,0.0,0.0,0.0,0.0,0.0,True
fixed:visual>association:0027,fixed,0.3184814352474483,0.3184814352474483,0.0,0.86,0.86,0.0,0.0,0.0,0.0,0.0,True
fixed:visual>association:0028,fixed,0.3176004920678717,0.3176004920678717,0.0,0.86,0.86,0.0,0.0,0.0,0.5032435632705514,0.0,True
fixed:visual>association:0029,fixed,0.31423710475492783,0.31423710475492783,0.0,0.86,0.86,0.0,0.0,0.0,0.0,0.0,True
fixed:visual>association:0030,fixed,0.34659820148426795,0.34659820148426795,0.0,0.86,0.86,0.0,0.0,0.0,1.1894523113761235,0.0,True
fixed:visual>association:0031,fixed,0.3233626557389111,0.3233626557389111,0.0,0.86,0.86,0.0,0.0,0.0,0.2897853492796694,0.0,True
fixed:visual>association:0032,fixed,0.3218089694809522,0.3218089694809522,0.0,0.86,0.86,0.0,0.0,0.0,0.420109543701704,0.0,True
fixed:visual>association:0033,fixed,0.3620034933344558,0.3620034933344558,0.0,0.86,0.86,0.0,0.0,0.0,0.0,0.0,True
fixed:visual>association:0034,fixed,0.3167052296669521,0.3167052296669521,0.0,0.86,0.86,0.0,0.0,0.0,0.0,0.0,True
fixed:visual>association:0035,fixed,0.31423323925765184,0.31423323925765184,0.0,0.86,0.86,0.0,0.0,0.0,0.5653621219287548,0.0,True
fixed:visual>association:0036,fixed,0.3556072106704856,0.3556072106704856,0.0,0.86,0.86,0.0,0.0,0.0,0.0,0.0,True
fixed:visual>association:0037,fixed,0.3432685667468526,0.3432685667468526,0.0,0.86,0.86,0.0,0.0,0.0,0.6976264425267479,0.0,True
fixed:visual>association:0038,fixed,0.35253073046086636,0.35253073046086636,0.0,0.86,0.86,0.0,0.0,0.0,0.0,0.0,True
fixed:visual>association:0039,fixed,0.33194699679558315,0.33194699679558315,0.0,0.86,0.86,0.0,0.0,0.0,0.36005775119841005,0.0,True
fixed:visual>association:0040,fixed,0.3632078213478581,0.3632078213478581,0.0,0.86,0.86,0.0,0.0,0.0,0.0,0.0,True
fixed:visual>association:0041,fixed,0.3416624845420835,0.3416624845420835,0.0,0.86,0.86,0.0,0.0,0.0,0.0,0.0,True
fixed:visual>association:0042,fixed,0.3442388676416762,0.3442388676416762,0.0,0.86,0.86,0.0,0.0,0.0,0.5993712775762605,0.0,True
fixed:visual>association:0043,fixed,0.33376032122829585,0.33376032122829585,0.0,0.86,0.86,0.0,0.0,0.0,0.0,0.0,True
fixed:visual>association:0044,fixed,0.3652096225787015,0.3652096225787015,0.0,0.86,0.86,0.0,0.0,0.0,0.0,0.0,True
fixed:visual>association:0045,fixed,0.3422929279124361,0.3422929279124361,0.0,0.86,0.86,0.0,0.0,0.0,0.11109371583090624,0.0,True
fixed:visual>association:0046,fixed,0.33985224624400356,0.33985224624400356,0.0,0.86,0.86,0.0,0.0,0.0,0.0,0.0,True
fixed:visual>association:0047,fixed,0.3432826811112938,0.3432826811112938,0.0,0.86,0.86,0.0,0.0,0.0,0.0,0.0,True
fixed:visual>association:0048,fixed,0.36627963338381553,0.36627963338381553,0.0,0.86,0.86,0.0,0.0,0.0,0.026358390698996124,0.0,True
fixed:visual>association:0049,fixed,0.3221922732590899,0.3221922732590899,0.0,0.86,0.86,0.0,0.0,0.0,0.0,0.0,True
fixed:visual>association:0050,fixed,0.3425727327246579,0.3425727327246579,0.0,0.86,0.86,0.0,0.0,0.0,0.5428125176167721,0.0,True
fixed:visual>association:0051,fixed,0.31456499146804,0.31456499146804,0.0,0.86,0.86,0.0,0.0,0.0,0.5413272077191524,0.0,True
fixed:audio>association:0000,fixed,0.3342228756261449,0.3342228756261449,0.0,0.84,0.84,0.0,0.0,0.0,0.0,0.0,True
fixed:audio>association:0001,fixed,0.32395955937652887,0.32395955937652887,0.0,0.84,0.84,0.0,0.0,0.0,0.0,0.0,True
fixed:audio>association:0002,fixed,0.3385790059752071,0.3385790059752071,0.0,0.84,0.84,0.0,0.0,0.0,0.007247968375901182,0.0,True
fixed:audio>association:0003,fixed,0.3364687199835624,0.3364687199835624,0.0,0.84,0.84,0.0,0.0,0.0,0.009640277759373003,0.0,True
fixed:audio>association:0004,fixed,0.33846343267151924,0.33846343267151924,0.0,0.84,0.84,0.0,0.0,0.0,0.0050425939716979735,0.0,True
fixed:audio>association:0005,fixed,0.31843409175432724,0.31843409175432724,0.0,0.84,0.84,0.0,0.0,0.0,0.3453441259943201,0.0,True
fixed:audio>association:0006,fixed,0.3193365427453911,0.3193365427453911,0.0,0.84,0.84,0.0,0.0,0.0,0.0051882319345658455,0.0,True
fixed:audio>association:0007,fixed,0.34154188186698586,0.34154188186698586,0.0,0.84,0.84,0.0,0.0,0.0,1.2863186048608655,0.0,True
fixed:audio>association:0008,fixed,0.3437716642795289,0.3437716642795289,0.0,0.84,0.84,0.0,0.0,0.0,0.2946123822753019,0.0,True
fixed:audio>association:0009,fixed,0.3020974047674418,0.3020974047674418,0.0,0.84,0.84,0.0,0.0,0.0,0.0,0.0,True
fixed:audio>association:0010,fixed,0.33895531819560204,0.33895531819560204,0.0,0.84,0.84,0.0,0.0,0.0,0.9489028948394481,0.0,True
fixed:audio>association:0011,fixed,0.30284109225089434,0.30284109225089434,0.0,0.84,0.84,0.0,0.0,0.0,0.0015164771017807518,0.0,True
fixed:audio>association:0012,fixed,0.31045622047986643,0.31045622047986643,0.0,0.84,0.84,0.0,0.0,0.0,0.0,0.0,True
fixed:audio>association:0013,fixed,0.3067001778349309,0.3067001778349309,0.0,0.84,0.84,0.0,0.0,0.0,0.5327559092250013,0.0,True
fixed:audio>association:0014,fixed,0.2959647035760073,0.2959647035760073,0.0,0.84,0.84,0.0,0.0,0.0,0.00440942709322506,0.0,True
fixed:audio>association:0015,fixed,0.32980585464744805,0.32980585464744805,0.0,0.84,0.84,0.0,0.0,0.0,1.2421182564961974,0.0,True
fixed:audio>association:0016,fixed,0.3445296170612947,0.3445296170612947,0.0,0.84,0.84,0.0,0.0,0.0,0.0,0.0,True
fixed:audio>association:0017,fixed,0.33492969254762367,0.33492969254762367,0.0,0.84,0.84,0.0,0.0,0.0,1.283104582286715,0.0,True
fixed:audio>association:0018,fixed,0.33875829603583824,0.33875829603583824,0.0,0.84,0.84,0.0,0.0,0.0,0.3673858757500073,0.0,True
fixed:audio>association:0019,fixed,0.32421718723878584,0.32421718723878584,0.0,0.84,0.84,0.0,0.0,0.0,0.0,0.0,True
fixed:audio>association:0020,fixed,0.29750838681802216,0.29750838681802216,0.0,0.84,0.84,0.0,0.0,0.0,0.832872518399974,0.0,True
fixed:audio>association:0021,fixed,0.3114270417887929,0.3114270417887929,0.0,0.84,0.84,0.0,0.0,0.0,1.1728997794353047,0.0,True
fixed:audio>association:0022,fixed,0.3115378364298596,0.3115378364298596,0.0,0.84,0.84,0.0,0.0,0.0,0.0005324657150779485,0.0,True
fixed:interoceptive>association:0000,fixed,0.3742481630181743,0.3742481630181743,0.0,0.9,0.9,0.0,0.0,0.0,1.4513585644865503,0.0,True
fixed:interoceptive>association:0001,fixed,0.39188531953638045,0.39188531953638045,0.0,0.9,0.9,0.0,0.0,0.0,0.769057691931274,0.0,True
fixed:interoceptive>association:0002,fixed,0.3951410972102809,0.3951410972102809,0.0,0.9,0.9,0.0,0.0,0.0,1.5179639004150098,0.0,True
fixed:interoceptive>association:0003,fixed,0.37309290352707214,0.37309290352707214,0.0,0.9,0.9,0.0,0.0,0.0,1.4332641252796023,0.0,True
fixed:interoceptive>association:0004,fixed,0.37815335227463687,0.37815335227463687,0.0,0.9,0.9,0.0,0.0,0.0,1.0752419107809117,0.0,True
fixed:interoceptive>association:0005,fixed,0.35545600940079913,0.35545600940079913,0.0,0.9,0.9,0.0,0.0,0.0,0.6975667741171974,0.0,True
fixed:interoceptive>association:0006,fixed,0.3513528155064944,0.3513528155064944,0.0,0.9,0.9,0.0,0.0,0.0,0.9990372171263574,0.0,True
fixed:interoceptive>association:0007,fixed,0.36123150032303947,0.36123150032303947,0.0,0.9,0.9,0.0,0.0,0.0,1.0271262870083295,0.0,True
fixed:interoceptive>association:0008,fixed,0.3973267474613955,0.3973267474613955,0.0,0.9,0.9,0.0,0.0,0.0,1.4518003749156816,0.0,True
fixed:interoceptive>association:0009,fixed,0.39628929169603644,0.39628929169603644,0.0,0.9,0.9,0.0,0.0,0.0,1.1268096730127541,0.0,True
fixed:interoceptive>association:0010,fixed,0.3864781986247938,0.3864781986247938,0.0,0.9,0.9,0.0,0.0,0.0,1.4846847314837979,0.0,True
fixed:interoceptive>association:0011,fixed,0.37677724430327847,0.37677724430327847,0.0,0.9,0.9,0.0,0.0,0.0,0.7394087592230033,0.0,True
fixed:interoceptive>association:0012,fixed,0.35255033645787365,0.35255033645787365,0.0,0.9,0.9,0.0,0.0,0.0,1.3672129907178774,0.0,True
fixed:interoceptive>association:0013,fixed,0.39307326495752193,0.39307326495752193,0.0,0.9,0.9,0.0,0.0,0.0,1.5243635265060365,0.0,True
fixed:interoceptive>association:0014,fixed,0.3573171995989091,0.3573171995989091,0.0,0.9,0.9,0.0,0.0,0.0,1.3726605858460845,0.0,True
fixed:interoceptive>association:0015,fixed,0.3801433751474301,0.3801433751474301,0.0,0.9,0.9,0.0,0.0,0.0,0.0,0.0,True
fixed:interoceptive>association:0016,fixed,0.3579880141634027,0.3579880141634027,0.0,0.9,0.9,0.0,0.0,0.0,0.7025357220251992,0.0,True
fixed:interoceptive>association:0017,fixed,0.38427323071620667,0.38427323071620667,0.0,0.9,0.9,0.0,0.0,0.0,1.4041038615907777,0.0,True
fixed:interoceptive>association:0018,fixed,0.3919063059137219,0.3919063059137219,0.0,0.9,0.9,0.0,0.0,0.0,0.7690988767731544,0.0,True
fixed:interoceptive>association:0019,fixed,0.3684480977895869,0.3684480977895869,0.0,0.9,0.9,0.0,0.0,0.0,0.0,0.0,True
fixed:interoceptive>association:0020,fixed,0.3875253342243781,0.3875253342243781,0.0,0.9,0.9,0.0,0.0,0.0,0.0,0.0,True
fixed:interoceptive>association:0021,fixed,0.3974524731195959,0.3974524731195959,0.0,0.9,0.9,0.0,0.0,0.0,0.0,0.0,True
fixed:interoceptive>association:0022,fixed,0.37275865443176004,0.37275865443176004,0.0,0.9,0.9,0.0,0.0,0.0,0.7315224534663484,0.0,True
fixed:interoceptive>association:0023,fixed,0.39374786382668786,0.39374786382668786,0.0,0.9,0.9,0.0,0.0,0.0,1.526979664521147,0.0,True
fixed:interoceptive>association:0024,fixed,0.3797826335248026,0.3797826335248026,0.0,0.9,0.9,0.0,0.0,0.0,1.3876955761488086,0.0,True
fixed:interoceptive>association:0025,fixed,0.4087449785937883,0.4087449785937883,0.0,0.9,0.9,0.0,0.0,0.0,1.4935216845048187,0.0,True
fixed:interoceptive>association:0026,fixed,0.36534692055943196,0.36534692055943196,0.0,0.9,0.9,0.0,0.0,0.0,1.0388280801883398,0.0,True
fixed:interoceptive>association:0027,fixed,0.3695535980469289,0.3695535980469289,0.0,0.9,0.9,0.0,0.0,0.0,0.7252326713720764,0.0,True
fixed:interoceptive>association:0028,fixed,0.41003382240696323,0.41003382240696323,0.0,0.9,0.9,0.0,0.0,0.0,0.8046733300627833,0.0,True
fixed:interoceptive>association:0029,fixed,0.3508579757844148,0.3508579757844148,0.0,0.9,0.9,0.0,0.0,0.0,1.2820071742979287,0.0,True
fixed:interoceptive>association:0030,fixed,0.40271516910564004,0.40271516910564004,0.0,0.9,0.9,0.0,0.0,0.0,0.7903107950675466,0.0,True
fixed:interoceptive>association:0031,fixed,0.35125346380046174,0.35125346380046174,0.0,0.9,0.9,0.0,0.0,0.0,0.0,0.0,True
fixed:interoceptive>association:0032,fixed,0.3586627495551802,0.3586627495551802,0.0,0.9,0.9,0.0,0.0,0.0,0.0,0.0,True
fixed:interoceptive>association:0033,fixed,0.379884437969855,0.379884437969855,0.0,0.9,0.9,0.0,0.0,0.0,1.3880675615045373,0.0,True
fixed:interoceptive>association:0034,fixed,0.3660167490474874,0.3660167490474874,0.0,0.9,0.9,0.0,0.0,0.0,0.0,0.0,True
fixed:interoceptive>emotion_control:0000,fixed,0.39247805488107845,0.39247805488107845,0.0,0.92,0.92,0.0,0.0,0.0,1.1159727955113288,0.0,True
fixed:interoceptive>emotion_control:0001,fixed,0.39907576909736336,0.39907576909736336,0.0,0.92,0.92,0.0,0.0,0.0,1.458191161045882,0.0,True
fixed:interoceptive>emotion_control:0002,fixed,0.40435704872310707,0.40435704872310707,0.0,0.92,0.92,0.0,0.0,0.0,1.149749547614748,0.0,True
fixed:interoceptive>emotion_control:0003,fixed,0.41074915087558483,0.41074915087558483,0.0,0.92,0.92,0.0,0.0,0.0,1.57792339890034,0.0,True
fixed:interoceptive>emotion_control:0004,fixed,0.43621181175420476,0.43621181175420476,0.0,0.92,0.92,0.0,0.0,0.0,1.6916575991020035,0.0,True
fixed:interoceptive>emotion_control:0005,fixed,0.39723241914618623,0.39723241914618623,0.0,0.92,0.92,0.0,0.0,0.0,1.5404929952629614,0.0,True
fixed:interoceptive>emotion_control:0006,fixed,0.4460511101300074,0.4460511101300074,0.0,0.92,0.92,0.0,0.0,0.0,0.8753556720261892,0.0,True
fixed:interoceptive>emotion_control:0007,fixed,0.40269658808091535,0.40269658808091535,0.0,0.92,0.92,0.0,0.0,0.0,1.1450281908875177,0.0,True
fixed:interoceptive>emotion_control:0008,fixed,0.3944961280015644,0.3944961280015644,0.0,0.92,0.92,0.0,0.0,0.0,1.1217109881919292,0.0,True
fixed:interoceptive>emotion_control:0009,fixed,0.44809589103558484,0.44809589103558484,0.0,0.92,0.92,0.0,0.0,0.0,1.7377448266436668,0.0,True
fixed:interoceptive>emotion_control:0010,fixed,0.4273064276644989,0.4273064276644989,0.0,0.92,0.92,0.0,0.0,0.0,0.8385700576786982,0.0,True
fixed:interoceptive>emotion_control:0011,fixed,0.4529784089498451,0.4529784089498451,0.0,0.92,0.92,0.0,0.0,0.0,1.7401502331896705,0.0,True
fixed:interoceptive>emotion_control:0012,fixed,0.41787184715220976,0.41787184715220976,0.0,0.92,0.92,0.0,0.0,0.0,0.0,0.0,True
fixed:interoceptive>emotion_control:0013,fixed,0.40634858272944924,0.40634858272944924,0.0,0.92,0.92,0.0,0.0,0.0,1.5610182892210118,0.0,True
fixed:motor>association:0000,fixed,0.2842268488731145,0.2842268488731145,0.0,0.82,0.82,0.0,0.0,0.0,0.20331916501458386,0.0,True
fixed:motor>association:0001,fixed,0.2999023719958583,0.2999023719958583,0.0,0.82,0.82,0.0,0.0,0.0,0.2348185082718706,0.0,True
fixed:motor>association:0002,fixed,0.2876975761576,0.2876975761576,0.0,0.82,0.82,0.0,0.0,0.0,0.2215050100134374,0.0,True
fixed:motor>association:0003,fixed,0.31205051520073285,0.31205051520073285,0.0,0.82,0.82,0.0,0.0,0.0,0.2402549003623599,0.0,True
fixed:motor>association:0004,fixed,0.29796471875062525,0.29796471875062525,0.0,0.82,0.82,0.0,0.0,0.0,0.22940992027806761,0.0,True
fixed:motor>association:0005,fixed,0.3161623345735891,0.3161623345735891,0.0,0.82,0.82,0.0,0.0,0.0,0.24754978522593185,0.0,True
fixed:motor>association:0006,fixed,0.3100414676461872,0.3100414676461872,0.0,0.82,0.82,0.0,0.0,0.0,0.2427572494695191,0.0,True
fixed:motor>association:0007,fixed,0.30863238767225026,0.30863238767225026,0.0,0.82,0.82,0.0,0.0,0.0,0.2416539635724666,0.0,True
fixed:motor>association:0008,fixed,0.27719818035882876,0.27719818035882876,0.0,0.82,0.82,0.0,0.0,0.0,0.2170415084560786,0.0,True
fixed:motor>association:0009,fixed,0.31795077670982347,0.31795077670982347,0.0,0.82,0.82,0.0,0.0,0.0,0.22744327882000676,0.0,True
fixed:motor>association:0010,fixed,0.30339267725349567,0.30339267725349567,0.0,0.82,0.82,0.0,0.0,0.0,0.17747092537265108,0.0,True
fixed:motor>association:0011,fixed,0.284572136940889,0.284572136940889,0.0,0.82,0.82,0.0,0.0,0.0,0.22281519231572092,0.0,True
fixed:motor>association:0012,fixed,0.3192302427508596,0.3192302427508596,0.0,0.82,0.82,0.0,0.0,0.0,0.2457827384627872,0.0,True
fixed:motor>association:0013,fixed,0.28384436393295503,0.28384436393295503,0.0,0.82,0.82,0.0,0.0,0.0,0.22224535830291786,0.0,True
fixed:motor>association:0014,fixed,0.3004859283033861,0.3004859283033861,0.0,0.82,0.82,0.0,0.0,0.0,0.2313510577554454,0.0,True
fixed:motor>association:0015,fixed,0.28080451610781615,0.28080451610781615,0.0,0.82,0.82,0.0,0.0,0.0,0.16425787785522253,0.0,True
fixed:motor>association:0016,fixed,0.306069755534564,0.306069755534564,0.0,0.82,0.82,0.0,0.0,0.0,0.23964746575180462,0.0,True
plastic:visual>association:0000,plastic,0.017225512463718198,0.017225512463718198,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.10396005471699686,False
plastic:visual>association:0001,plastic,0.018114474587184595,0.018114474587184595,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.10932515205105633,False
plastic:visual>association:0002,plastic,0.017265610272434635,0.017265610272434635,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.10365841360731344,False
plastic:visual>association:0003,plastic,0.018937092232118084,0.018937092232118084,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.115613900656209,False
plastic:visual>association:0004,plastic,0.017750729625650385,0.017750729625650385,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.09426603445707146,False
plastic:visual>association:0005,plastic,0.018092641967474125,0.018092641967474125,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.09024544556709668,False
plastic:visual>association:0006,plastic,0.018438391980777007,0.018438394256894586,2.276117579136372e-09,0.01,0.010000001593282305,3.5955666371539484e-09,0.0018137217112052053,1.8340484448256247e-10,0.0015516225889460691,0.10767454684905059,False
plastic:visual>association:0007,plastic,0.018828046322151345,0.018828046322151345,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.11418191537112594,False
plastic:visual>association:0008,plastic,0.017171104068325217,0.016844414573741667,-0.00032668949458354926,0.01,0.009918327626354112,0.0,0.037353305189132865,0.0,0.029840745269738442,0.10305517410462225,False
plastic:visual>association:0009,plastic,0.018154295978987517,0.018154295978987517,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.09055297355278434,False
plastic:visual>association:0010,plastic,0.01864099930976395,0.01864099930976395,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.107786378539726,False
plastic:visual>association:0011,plastic,0.019434520939120938,0.019434520939120938,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.1056488003482784,False
plastic:visual>association:0012,plastic,0.0176608728542407,0.0176608728542407,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.09277634807885635,False
plastic:visual>association:0013,plastic,0.01898574826930697,0.018954171376915997,-3.1576892390972056e-05,0.01,0.009992105776902257,0.0,0.003608803368114445,0.0,0.002960205671633222,0.12324950775155412,False
plastic:visual>association:0014,plastic,0.016632592459359583,0.016632592459359583,0.0,0.01,0.01,0.0,0.0034653912817560755,0.0,0.0030408675750155725,0.08613937901121026,False
plastic:visual>association:0015,plastic,0.01705980057821783,0.01705980057821783,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.10475556058100245,False
plastic:visual>association:0016,plastic,0.019271934464443218,0.019271934464443218,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.12655039611155836,False
plastic:visual>association:0017,plastic,0.018679165202667707,0.018679165202667707,0.0,0.01,0.01,0.0,0.016890380633602327,0.0,0.01394934841734058,0.11061979026937083,False
plastic:visual>association:0018,plastic,0.018117741625355302,0.018117741625355302,0.0,0.01,0.01,0.0,0.003308349273548952,0.0,0.0028324913151650975,0.11490308297336302,False
plastic:visual>association:0019,plastic,0.01859616074765344,0.018705215253276224,0.00010905450562278401,0.01,0.010076338153935948,0.0001610397776385114,0.0068609724865232175,7.79347533850827e-06,0.00603552229444296,0.11342818707201567,False
plastic:visual>association:0020,plastic,0.01712538740038907,0.01712538740038907,0.0,0.01,0.01,0.0,0.002785720004709255,0.0,0.002630373330947782,0.11794466841516299,False
plastic:visual>association:0021,plastic,0.019398623337795656,0.019398623337795656,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.12333562832058206,False
plastic:visual>association:0022,plastic,0.01943965596041974,0.01943965596041974,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.1126592918599753,False
plastic:visual>association:0023,plastic,0.01731033985459741,0.016926427662466263,-0.00038391219213114794,0.01,0.009904021951967214,0.0,0.043903866326205375,0.0,0.036722227519601046,0.10799598070673279,False
plastic:visual>association:0024,plastic,0.018088273007280452,0.018088273007280452,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.09904418709828947,False
plastic:visual>association:0025,plastic,0.017955386313566118,0.017955386313566118,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.09213552462050595,False
plastic:visual>association:0026,plastic,0.01887924949108464,0.01883428784130173,-4.496164978290765e-05,0.01,0.009988759587554274,0.0,0.005138519486903952,0.0,0.004505839302766828,0.09137823901413088,False
plastic:visual>association:0027,plastic,0.01745944189076134,0.01745944189076134,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.08959065597887679,False
plastic:visual>association:0028,plastic,0.017336627620924656,0.017336627620924656,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.10794200230210606,False
plastic:visual>association:0029,plastic,0.018742479943182986,0.018711774170218045,-3.070577296494098e-05,0.01,0.009992323556758765,0.0,0.0035092456011471176,0.0,0.0031658721390779745,0.12584728772343104,False
plastic:visual>association:0030,plastic,0.01752952896754471,0.01752952896754471,0.0,0.01,0.01,0.0,0.02411443839340502,0.0,0.01901400778000809,0.11388412517187677,False
plastic:visual>association:0031,plastic,0.017916465260809027,0.01790143668646575,-1.5028574343278062e-05,0.01,0.009996242856414182,0.0,0.0017175530424359624,0.0,0.0015077015523762242,0.10462665508497729,False
plastic:visual>association:0032,plastic,0.01849155861259452,0.01849155861259452,0.0,0.01,0.01,0.0,0.006012889846554345,0.0,0.004981063541026598,0.1050257004397216,False
plastic:visual>association:0033,plastic,0.01873140108102309,0.01873140108102309,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.12483063779377003,False
plastic:visual>association:0034,plastic,0.018750794370834045,0.018750794370834045,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.10835076080121381,False
plastic:visual>association:0035,plastic,0.016891116434658546,0.016550752353226242,-0.0003403640814323046,0.01,0.009914908979641923,0.0,0.038918389396276364,0.0,0.03278858536744182,0.11016654317188634,False
plastic:visual>association:0036,plastic,0.017820647436429728,0.017455448012055994,-0.00036519942437373415,0.01,0.009908700143906567,0.0,0.04176133753442474,0.0,0.03459296619218831,0.11622909194611136,False
plastic:visual>association:0037,plastic,0.01918622033993095,0.019159139314399793,-2.7081025531155295e-05,0.01,0.009993229743617212,0.0,0.0030949842285895807,0.0,0.0029469069004941575,0.13213788063457182,False
plastic:visual>association:0038,plastic,0.017809395988989733,0.0176644542787701,-0.00014494171021963223,0.01,0.009963764572445091,0.0,0.01656628220881485,0.0,0.015015408465710142,0.11029561753098166,False
plastic:visual>association:0039,plastic,0.01795517419232212,0.0175915989173352,-0.00036357527498692005,0.01,0.00990910618125327,0.0,0.04157539799637518,0.0,0.03574194304786739,0.12113738791083609,False
plastic:visual>association:0040,plastic,0.01917348059656834,0.01917348059656834,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.11263373667073379,False
plastic:visual>association:0041,plastic,0.017845121655085432,0.017845121655085432,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.09916473804078331,False
plastic:visual>association:0042,plastic,0.017633134136255987,0.017633134136255987,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.10186827401298107,False
